year,treasury1y,lnrgdppc_world_pwt,gtmp_bkly_aw,gtmp_bkly_aw_dtfe2s,dummyrecession,dlnpoil_wti,dlnrgdppc_world_pwt
1960,3.63,22.795753,14.11639022827148,-.11021669,0,,
1961,2.98,24.937147,14.20053005218506,-.028178334,0,0,2.1413937
1962,3.1,28.265043,14.15464019775391,-.048201196,0,0,3.3278961
1963,3.36,31.388866,14.20648288726807,-.017591549,0,0,3.1238232
1964,3.85,35.607891,13.90407466888428,-.28856894,0,-.84531403,4.2190247
1965,4.14,38.759224,14.00164318084717,-.16595942,0,-.85251617,3.1513329
1966,5.2,41.585567,14.06783294677734,.014467344,0,.58050537,2.8263435
1967,4.89,43.26709,14.09501647949219,.10507648,0,3.0183334,1.6815224
1968,5.69,46.723148,14.02424335479736,-.058524091,0,1.410553,3.4560585
1969,7.12,50.548599,14.16664791107178,.046837382,0,7.0728607,3.8254509
1970,6.9,52.25325,14.12409114837646,.025348375,0,1.6852646,1.7046509
1971,4.88,54.894997,14.00658893585205,-.13702011,0,6.0501709,2.6417465
1972,4.96,58.166862,14.12479877471924,-.069343396,0,0,3.2718658
1973,7.31,62.536945,14.25832462310791,.15124978,1,8.4268875,4.3700829
1974,8.18,63.212883,14.06671810150146,-.057488598,1,98.517685,.67593765
1975,6.76,62.467083,14.12532138824463,-.11363675,1,7.312973,-.74580002
1976,5.87,65.731544,14.03835582733154,-.1643783,0,12.492584,3.2644615
1977,6.09,68.045471,14.34995937347412,.22445133,0,12.271805,2.3139267
1978,8.34,70.39045,14.21695709228516,.11777575,0,3.802002,2.3449783
1979,10.67,72.715919,14.28894424438477,.066335298,1,41.123962,2.32547
1980,12.05,73.0867,14.4105978012085,.10348094,1,51.176239,.37078094
1981,14.78,73.079033,14.46012115478516,.17178015,1,-1.9124756,-.0076675415
1982,12.28,71.748589,14.24510097503662,-.14189653,1,-8.6280212,-1.3304443
1983,9.57,72.610825,14.42570877075195,-.043658078,1,-10.131866,.86223602
1984,10.89,75.317406,14.25731945037842,-.12314247,0,-3.7510071,2.7065811
1985,8.43,76.932739,14.25364589691162,-.12159549,0,-4.5528564,1.6153336
1986,6.46,78.492485,14.30850505828857,-.062488955,0,-62.052643,1.5597458
1987,6.76,80.446144,14.44720077514648,.15574975,0,24.221588,1.9536591
1988,7.65,82.81353,14.49242115020752,.1741647,0,-18.284363,2.3673859
1989,8.539999999999999,84.253159,14.37826061248779,-.037370943,0,20.498474,1.4396286
1990,7.88,85.321465,14.56477642059326,.061757583,1,22.331726,1.068306
1991,5.86,84.679672,14.55246448516846,.087926798,1,-13.121857,-.6417923
1992,3.89,84.596413,14.34378719329834,-.16509844,1,-4.3772888,-.083259583
1993,3.43,84.801132,14.40097045898438,-.18746804,0,-10.789825,.20471954
1994,5.31,86.069878,14.45046901702881,-.023842791,0,-7.1402588,1.2687454
1995,5.95,87.825233,14.60652542114258,.19870222,0,6.9776001,1.7553558
1996,5.51,90.163811,14.49520206451416,.035283931,0,18.414703,2.3385773
1997,5.63,92.534248,14.63578701019287,.071980208,0,-7.2775574,2.3704376
1998,5.05,93.272713,14.7860631942749,.20819131,0,-35.884796,.73846436
1999,5.08,95.382004,14.54416942596436,-.055485062,0,29.12204,2.1092911
2000,6.11,98.603447,14.54387664794922,-.19864948,0,45.34668,3.2214432
2001,3.48,99.712448,14.67854022979736,-.0075295861,0,-15.591278,1.1090012
2002,2,101.36117,14.77096843719482,.19654815,0,.66897583,1.6487198
2003,1.24,103.71361,14.75315380096436,.10887664,0,17.663422,2.3524399
2004,1.89,107.5126,14.66725635528564,-.087110825,0,28.570526,3.7989883
2005,3.62,110.74281,14.83266735076904,.044972595,0,30.944031,3.230217
2006,4.93,114.50867,14.78326797485352,.048423119,0,15.757538,3.7658615
2007,4.52,118.02693,14.79590320587158,.014505517,1,9.0481262,3.5182571
2008,1.82,119.16774,14.66738605499268,-.16451348,1,31.914551,1.1408081
2009,.47,117.41058,14.80344867706299,-.012161092,1,-47.867035,-1.7571564
2010,.32,121.26387,14.87247943878174,.11800189,0,25.268066,3.8532867
2011,.18,123.75191,14.76241302490234,-.0035803979,1,17.983612,2.4880447
2012,.18,124.98727,14.78221797943115,-.082413852,1,-.92562866,1.2353592
2013,.13,127.05611,14.80175113677979,-.037529889,0,3.8883362,2.06884
2014,.12,129.27339,14.87323474884033,.074320555,0,-4.8944397,2.2172775
2015,.32,131.00677,15.02161026000977,.20349438,0,-64.993713,1.7333832
2016,.61,132.67821,15.16036510467529,.29607511,0,-12.088928,1.6714325
2017,1.2,134.64998,15.06583690643311,.091574989,0,16.500519,1.9717712
2018,2.33,136.06995,14.99086761474609,-.12392553,0,24.388428,1.4199677
2019,2.05,137.33466,15.12524318695068,-.0043175002,0,-13.066254,1.2647095
