h,b,up1b,up2b,lo1b,lo2b,bt
0,-3.42272285445657,0.68770017549722,0.0738839236064406,-7.40324020744895,-6.81767850518657,1
1,-4.86515151832166,-0.0688960720109009,-0.769079926396621,-9.88549634343441,-9.06738887182567,0
2,-5.07706352838293,-0.59579572659722,-1.2490351480362,-9.76453576677137,-9.03024920306054,0
3,-4.51163141769862,0.424871835843982,-0.169383666599431,-9.56768757163124,-8.84885912318978,0
4,-4.84632516244728,0.972098421913286,0.0960279060846219,-10.8858650263939,-9.99911422564296,0
5,-7.08065471520924,-0.740421422926603,-1.54267637504781,-13.843813219871,-13.0200972445841,0
6,-6.60224874751363,-0.341493824352829,-1.26806639869294,-12.7257180271752,-11.8036898801512,0
7,-2.66791059839085,3.0516281191278,2.14408990102403,-8.35051517840689,-7.46668902965601,0
8,-2.53525743734358,3.32681005530729,2.51442473737754,-8.39199293530508,-7.4727699166419,0
9,-0.751574440704958,4.59141064352635,3.77954739597212,-6.23939707249985,-5.33035314343393,0
10,3.69684812827569,8.62352742223074,7.80147270634961,-1.35391094942929,-0.610630329875637,0
