h,b,up1b,up2b,lo1b,lo2b,bt
0,-3.42272285445657,-0.0750382522622477,-0.624049291916958,-6.68093657949484,-6.15017650677132,1
1,-4.86515151832166,-1.09084162222585,-1.68342709652646,-8.54669822808411,-8.0152910395545,0
2,-5.07706352838293,-1.17676421133719,-1.72829357228345,-8.96923621888765,-8.39646013722765,0
3,-4.51163141769862,-0.239854728892789,-0.809847781388526,-9.02246216612898,-8.3945705165925,0
4,-4.84632516244728,0.678499861256103,-0.269063064780012,-10.0900812129175,-9.29830859205304,0
5,-7.08065471520924,-1.39240471308907,-2.25397150443549,-12.9366106245361,-12.1374789735134,0
6,-6.60224874751363,-1.16222308414155,-2.03261810620367,-11.7500354322142,-10.9357062706743,0
7,-2.66791059839085,2.53987186304135,1.69232914445989,-7.92565248113667,-7.22357273559455,0
8,-2.53525743734358,3.01929945385961,2.06268255302595,-8.27881551568205,-7.47762437723454,0
9,-0.751574440704958,4.57381011302896,3.80122071283548,-6.07253924655253,-5.2424448314769,0
10,3.69684812827569,9.19254112066562,8.33226267878608,-1.92727145674644,-1.05551824108963,0
