h,b,up1b,up2b,lo1b,lo2b,bt
0,-1.79463201240952,0.500583603963175,0.110335006142748,-3.92549371785235,-3.56175502988154,1
1,-1.74346959308737,0.997623226269389,0.535402644837442,-4.40104681943015,-4.04736995169479,0
2,-3.26939430985427,0.48916868250621,-0.161495530751841,-6.89285178323439,-6.39203312888689,0
3,-3.96145744094446,-0.119214371308425,-0.638485797856412,-7.83397105814947,-7.33042242884809,0
4,-5.23740786736332,-1.40951873308261,-2.05539429978498,-9.11489183163821,-8.56536796313139,0
5,-6.35446137432883,-2.46332705806762,-3.09867064763862,-10.1725680996194,-9.66240569891758,0
6,-4.75622294858321,-0.962760386345093,-1.59608141114763,-8.31407403674209,-7.84587314490676,0
7,-2.63276573358167,1.19813318951614,0.608070596455937,-6.35030920073142,-5.76669200811956,0
8,-1.91982275966678,1.44427460663644,0.976322272653737,-5.17712560811922,-4.66017592776917,0
9,3.27805372143001,7.39184665797398,6.77808797660207,-0.627097922642029,-0.0764263712182891,0
10,0.354303892940363,5.7616737595394,4.86965616647972,-4.71295705946997,-3.89694303676038,0
