h,b,up1b,up2b,lo1b,lo2b,bt
0,-1.79463201240952,0.26920430181478,-0.0648543094285368,-3.86891602650598,-3.55523582456259,1
1,-1.74346959308737,0.890087126722529,0.48149508279549,-4.33398313552781,-3.94591173192635,0
2,-3.26939430985427,0.0271713109432481,-0.518083725383755,-6.55114924588735,-6.08809931681084,0
3,-3.96145744094446,0.113908130646859,-0.549732287547492,-8.04871660162806,-7.42071469531238,0
4,-5.23740786736332,0.031118616747519,-0.734375050916813,-10.7077948189878,-9.92932678131172,0
5,-6.35446137432883,-0.376943681986733,-1.14489995032523,-12.4332462149706,-11.6777414395866,0
6,-4.75622294858321,1.45415634124195,0.467647013487336,-10.9955542037825,-10.1040775587091,0
7,-2.63276573358167,3.50913880940503,2.42821537494479,-8.97905272242667,-7.98067673722724,0
8,-1.91982275966678,4.31130232313358,3.35930668519817,-8.66149298551253,-7.48996864952053,0
9,3.27805372143001,9.33552256445858,8.26106730546742,-2.78552793806537,-1.94780294971274,0
10,0.354303892940363,6.23875664402534,5.35991507752856,-5.47900128680106,-4.46028000948706,0
