h,b,up1b,up2b,lo1b,lo2b
0,-3.42272285445657,0.68770017549722,0.0738839236064406,-7.40324020744895,-6.81767850518657
1,-6.89058723144085,-0.77605608491094,-1.60447529592822,-13.2613313277019,-12.249435026295
2,-8.894661850456,-1.82632801021138,-2.82002508522258,-16.1068102557718,-15.1341420373375
3,-9.4479791849266,-1.35511491484984,-2.46207811110808,-17.7487366369807,-16.4495931003016
4,-11.0599132730163,-1.29198357058036,-2.64325529267137,-21.317390371158,-19.9172263746022
5,-14.772346358425,-2.93028512693301,-4.615102915733,-27.6136696290999,-25.8115958793536
6,-16.8353852789919,-3.78575569490844,-5.81355237258161,-30.5712444496723,-28.7051650590694
7,-14.3127692871712,-0.989137039373626,-3.04923170654003,-28.01542359985,-25.965782937354
8,-13.7471560142669,0.173002991904699,-1.99572482245387,-27.9883547505782,-26.2097573910703
9,-13.2386620583142,1.29325302151268,-0.873123941735701,-28.6291533822915,-26.2902205249676
10,-9.35274159777324,4.70391372252604,2.70117361733639,-24.0189269118851,-21.8929030114926
