h,b,up1b,up2b,lo1b,lo2b
0,-3.42272285445657,-0.0750382522622477,-0.624049291916958,-6.68093657949484,-6.15017650677132
1,-6.89058723144085,-1.80908706526181,-2.67632001880592,-11.7818192770902,-11.1278301612194
2,-8.894661850456,-2.67774359075462,-3.71314733705879,-14.7491634174348,-14.0120265159174
3,-9.4479791849266,-2.37506307504637,-3.55012675179249,-16.5872185012412,-15.4302301867652
4,-11.0599132730163,-2.26038631330369,-3.69789930574929,-19.9116637554908,-18.4989904504026
5,-14.772346358425,-4.72364008864961,-6.15357298052042,-25.2089339307001,-23.5643393903791
6,-16.8353852789919,-5.81829374726419,-7.67401897652955,-27.9771216104145,-25.9751679118632
7,-14.3127692871712,-3.18713946064187,-4.89656870535267,-25.8184587190619,-23.9562177240603
8,-13.7471560142669,-1.95958321511253,-3.77064074153534,-26.0609766503863,-24.2318271768338
9,-13.2386620583142,-1.01117656034703,-2.77496739934052,-26.2507143708744,-24.1821335842359
10,-9.35274159777324,3.46391859826323,1.47163716035573,-23.0965110455044,-20.585324361611
