h,b,up1b,up2b,lo1b,lo2b
0,-1.79463201240952,0.26920430181478,-0.0648543094285368,-3.86891602650598,-3.55523582456259
1,-2.47542303712853,0.770770380175366,0.217995533755401,-5.67879755181164,-5.13985132750982
2,-4.55359579426231,-0.124405252727374,-0.87049102315743,-8.90770343388393,-8.22994076397091
3,-6.49667007177903,-0.567766797868078,-1.58710044262252,-12.4067431691853,-11.4086600584253
4,-9.13591224989002,-1.48260627144934,-2.62747448922119,-17.1935608582779,-16.0533752219094
5,-11.769761739964,-2.27276061164964,-3.61427393325482,-21.7708985937627,-20.2314161544967
6,-12.109375143761,-1.29443990902892,-2.85072143149189,-23.3302934297779,-21.8683918567231
7,-11.2641725423965,0.406907737851752,-1.23881351648109,-24.073871895962,-22.0276333624984
8,-10.9061925974895,1.54312267284581,-0.137727753140922,-24.4844764868987,-22.348675373673
9,-5.6482181557587,7.20765338362303,4.93782344752181,-19.8299415241627,-17.4656720639903
10,-6.89994248319843,5.88050418662118,3.92915451039199,-21.2672574026616,-18.4264294991101
