h,bgtmp_bkly_awbasetsS,sebgtmp_bkly_aw,blnrgdppc_pwt,selnrgdppc_pwt,blnkpc_pwt,seblnkpc_pwt
0,1,.014983368,-1.903144,.97658378,-.12234361,.29370865
1,.40785712,.11136805,-1.8295078,1.107554,.18293819,.53147042
2,.31934959,.13478015,-3.794693,1.7766621,.21177848,.7452507
3,.35939991,.11939931,-6.7911186,2.3855031,-.22347952,1.0979674
4,.34108007,.12040869,-10.418043,3.4286213,-1.4062501,1.7566582
5,.13619155,.1301157,-11.765561,3.6050072,-2.6709523,2.3348002
6,.17416234,.14078578,-13.89227,3.9639266,-4.7515497,2.8289723
7,.37882087,.14964937,-12.674095,4.3755698,-6.4388809,3.2718093
8,.30876881,.11867554,-11.565639,4.4597712,-7.6867099,3.4944439
9,.13687953,.11906781,-7.6563725,6.3492637,-7.5546994,3.6353583
10,.49216914,.20153102,-5.0607567,7.2133465,-8.512311,3.9171462
