h,bgtmp_noaa_aw,sebgtmp_noaa_aw,blnrgdppc_world_bud,selnrgdppc_world_bud
0,1,.011810235,-3.4227259,2.2174373
1,.59176153,.073955581,-6.8905878,2.9359801
2,.27422285,.082877979,-8.8946609,3.3267062
3,.17465661,.077079155,-9.4479809,4.026957
4,.38034061,.095426962,-11.059913,4.7354164
5,.24818633,.10365113,-14.772346,6.020812
6,.23012105,.11958142,-16.835386,6.8488693
7,.24956553,.11690436,-14.31277,6.7804375
8,.36242148,.10848814,-13.747158,6.4962568
9,.33240271,.12454221,-13.238662,7.0412917
10,.4314701,.11768196,-9.352747,7.5552187
