h,blctmp_bkly_pw,selctmp_bkly_pw,blnrgdppc_pwt,selnrgdppc_pwt,blnkpc_pwt,seblnkpc_pwt
0,1,.0091650747,-.40168566,.15844844,-.037672494,.063339271
1,.23816982,.040891282,-.44470462,.22870812,-.14130776,.1318551
2,.12412888,.05274022,-.55429757,.41367784,-.24395029,.21979229
3,.073269278,.035425894,-.80672824,.54955286,-.4125689,.28712234
4,.041133709,.047982305,-.92028213,.60707629,-.54653358,.32402724
5,.060795587,.051933948,-.90371424,.67369187,-.56986552,.34304082
6,.064968303,.052086983,-.70205575,.8663162,-.65161425,.36015293
7,.13854806,.063223228,-.62450445,.95768946,-.67141145,.37596744
8,.17789076,.040731087,-.48940161,1.0381341,-.60122335,.42178452
9,.140818,.051957019,-.82828259,1.1764754,-.62751615,.49059197
10,.069841057,.0448029,-.3893179,.90411717,-.56511331,.5237031
