h,b,up1b,up2b,lo1b,lo2b
0,1,1,1,1,1
1,0.66672406411443,0.856871403323189,0.826110055731267,0.482487605085204,0.510543613030021
2,0.290142850161497,0.505359927079234,0.467538938627327,0.0700752216909393,0.107071300493558
3,0.231344261631345,0.435704649553305,0.403384652865275,0.0195233384426823,0.0555657467598769
4,0.444257679300778,0.645825292873452,0.612664473485873,0.24027972376232,0.272194322978932
5,0.242535520598037,0.455286964321422,0.420189961557179,0.0247715281857323,0.0604580388099434
6,0.199568292265236,0.404558492074622,0.371998351066498,-0.010706916981143,0.0241805894320196
7,0.267265077854171,0.470075000740293,0.435742226021572,0.0668484115104047,0.0985205944310034
8,0.394017026412265,0.587079560731036,0.554288949497373,0.216109528930948,0.243956916330514
9,0.302982714950586,0.491733163521585,0.460185376656347,0.117042292978875,0.145724828345092
10,0.344284817274545,0.530925803620353,0.498982888008603,0.166949724036268,0.194984845993369
