h,b,up1b,up2b,lo1b,lo2b
0,-4.72045303178972,0.220465544810109,-0.449399528244516,-9.94795985755401,-9.06702728143583
1,-8.39137252942857,-1.16169320035694,-2.37720901667205,-15.8195764833619,-14.6681867184825
2,-12.1222286075043,-3.56866570557494,-4.9075238300344,-21.3154203547951,-19.7118190019956
3,-10.8719428755198,-1.04788326498392,-2.76279729237983,-21.0033218102535,-19.2953076595137
4,-10.1871154464615,0.437307353361831,-1.23808001181897,-20.9337245350695,-19.2220648738434
5,-11.472803312348,-0.483673160066438,-2.34497328693817,-22.4163855499642,-20.4948173216678
6,-13.1451840922209,-2.12555034754887,-3.97572985210774,-23.380228960068,-21.8853710318408
7,-11.7582722967229,-0.38468132510981,-2.38041116321862,-22.2740034478333,-20.5638567232219
8,-10.6455865432681,0.0892220406164768,-1.73385096857594,-20.2467883199283,-18.6074457045591
9,-10.087743695445,0.309627010461838,-1.5508737296031,-19.4657965894362,-17.7754325264639
10,-9.66597822213053,0.525371617967732,-1.27462320250928,-18.9296957788898,-17.3598967058307
