h,b,up1b,up2b,lo1b,lo2b
0,1,1,1,1,1
1,0.46407274132826,0.749958021749646,0.703974299127426,0.183885459853171,0.231399226117625
2,0.19906302117771,0.456732246919594,0.416592095920032,-0.0801537244927981,-0.0298409731942696
3,0.420761870551338,0.680726814884256,0.639738495889088,0.157463465542879,0.202189867277137
4,0.593560858523902,0.854749775765825,0.807062496260424,0.342349369082313,0.384556692114879
5,0.462288852358207,0.752890610081347,0.703683076885021,0.177000570203825,0.221447639238963
6,0.263282905252665,0.544487605945388,0.496291983232142,-0.01720922992977,0.0287839025138578
7,0.494930071314242,0.752192674815804,0.708207478407636,0.229161382502741,0.27811136258076
8,0.496742392147079,0.762326714534191,0.718491507024138,0.213215860334837,0.265453178768024
9,0.411222795457082,0.679369242891344,0.630605976324556,0.126327560184801,0.172558533924988
10,0.444700386277758,0.699479200834179,0.651894439079292,0.153028342235026,0.212172010977657
