Year,Data,Temperature,Yp,welfare,Kp,Ep,SCC,Peak_dmg,LR_RF_1C_gdp,LR_model_1C_gdp
2024,PWT,global,-0,34.8677058262644,-0,4.16454256969068,1206.96927919086,4.32176077999168,21.5433088804395,26.3919958391919
2050,PWT,global,27.89605160531,47.1997979435546,14.7248880900953,26.0048427172826,NaN,NaN,NaN,NaN
2100,PWT,global,52.9463245690207,55.995124255491,50.9871211917894,52.5800439737675,NaN,NaN,NaN,NaN
2150,PWT,global,57.0479033430587,57.6375616053711,56.6882219889074,56.9849070061655,NaN,NaN,NaN,NaN
2323,PWT,global,58.0577474381619,58.0517715780626,58.0744078667362,58.0511405799406,NaN,NaN,NaN,NaN
2024,BU,global,-0,41.8263685923952,-0,6.0823136721341,1519.6266973214,8.60037372373835,33.6407463502313,29.7657341834212
2050,BU,global,35.1402277463102,54.8731103082404,20.4811701171835,32.9031874055079,NaN,NaN,NaN,NaN
2100,BU,global,60.5733526994421,63.5125021019977,58.657336097831,60.2135265914718,NaN,NaN,NaN,NaN
2150,BU,global,64.5210697729869,65.0833092015248,64.1769359324498,64.4609154913442,NaN,NaN,NaN,NaN
2323,BU,global,65.4793782199021,65.4764689201666,65.4875219426616,65.4709925509566,NaN,NaN,NaN,NaN
2024,PWT,local,-0,5.17824700714767,-0,0.46652163397668,148.939191370722,0.527343103072249,3.31756949844801,4.6214550999416
2050,PWT,local,3.98912692511043,7.6199189770715,2.06823247205509,3.71838843369408,NaN,NaN,NaN,NaN
2100,PWT,local,8.89337324010638,9.6442790490612,8.44087087865455,8.81348597693016,NaN,NaN,NaN,NaN
2150,PWT,local,9.90970897384408,10.0657668770813,9.81128721221327,9.89596457316459,NaN,NaN,NaN,NaN
2323,PWT,local,10.1663881210066,10.1728154275787,10.1484670814484,10.1728163128173,NaN,NaN,NaN,NaN
