Year,Data,Temperature,Yp,welfare,Kp,Ep,SCC,Peak_dmg,LR_RF_1C_gdp,LR_model_1C_gdp
2024,PWT,global,-0,35,-0,4,1207,4,22,26
2050,PWT,global,28,47,15,26,NaN,NaN,NaN,NaN
2100,PWT,global,53,56,51,53,NaN,NaN,NaN,NaN
2150,PWT,global,57,58,57,57,NaN,NaN,NaN,NaN
2323,PWT,global,58,58,58,58,NaN,NaN,NaN,NaN
2024,BU,global,-0,42,-0,6,1520,9,34,30
2050,BU,global,35,55,20,33,NaN,NaN,NaN,NaN
2100,BU,global,61,64,59,60,NaN,NaN,NaN,NaN
2150,BU,global,65,65,64,64,NaN,NaN,NaN,NaN
2323,BU,global,65,65,65,65,NaN,NaN,NaN,NaN
2024,PWT,local,-0,5,-0,0,149,1,3,5
2050,PWT,local,4,8,2,4,NaN,NaN,NaN,NaN
2100,PWT,local,9,10,8,9,NaN,NaN,NaN,NaN
2150,PWT,local,10,10,10,10,NaN,NaN,NaN,NaN
2323,PWT,local,10,10,10,10,NaN,NaN,NaN,NaN
