Horizon,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0
1,-0.0335639459277726,0.00907034348796564,-0.014725568050243,-0.0274756011904194,-0.0555508497529005,-0.0410626438022846,-0.0102940761629534,-0.0224757764663342,-0.0416279695014919,-0.0511406555580816
2,-0.0432176077999168,0.0125292333624695,-0.0184104658119413,-0.0367955877240893,-0.0701195833238355,-0.0409714062842685,-0.01421957672795,-0.0185535614288379,-0.0575028890506599,-0.0649583262871536
3,-0.041736327748779,0.0129804449077028,-0.0172632654146858,-0.0369580320916616,-0.0663827662945361,-0.0306611418496511,-0.0147316036660806,-0.0114874026896997,-0.0595742639545941,-0.0618826251256968
4,-0.0358277683409242,0.0119537780530956,-0.0143890719183961,-0.0329968665434726,-0.0558630932061994,-0.0203964921127707,-0.0135663701683901,-0.00632243819151689,-0.0548628674674329,-0.0524027660652877
5,-0.0288337475951396,0.0103203666379943,-0.0112439286842541,-0.0276192021642672,-0.0440729402348083,-0.012720557354035,-0.0117125478428253,-0.00326241587547547,-0.0473666767896283,-0.0416020828176895
6,-0.0222770764602908,0.00855380507598498,-0.00843487792313578,-0.0221934122736894,-0.033380776715794,-0.00761623358462417,-0.0097076280440799,-0.00161616607080524,-0.0392592394228046,-0.0317067167313514
7,-0.0167334456249828,0.0068927443016906,-0.00615189976610977,-0.0173382741763417,-0.0245806028050429,-0.00443355534293804,-0.00782245768553898,-0.00077842878372501,-0.0316358647413539,-0.0234940082672534
8,-0.0123129537984195,0.00544093071245025,-0.00439530527053438,-0.013268935986757,-0.0177312728058392,-0.00252825798942105,-0.00617477697926389,-0.000367297211770491,-0.0249727296002012,-0.0170534487935655
9,-0.00891875496756678,0.0042278332489945,-0.00309124622008479,-0.0099960908958967,-0.0125908196408795,-0.00141926480412431,-0.00479802721420807,-0.000170607307862791,-0.0194051146778009,-0.012185181519662
10,-0.00638051474132028,0.00324466992742144,-0.00214727321359106,-0.00743759543935861,-0.00883037595820032,-0.000786905638414858,-0.00368223843451604,-7.82714292607601e-05,-0.0148927431376261,-0.00859925553235168
11,-0.00451904772553647,0.00246525269923617,-0.00147665960401685,-0.00547864790145252,-0.00613120322577718,-0.000431945827782577,-0.00279768685395386,-3.55520583140893e-05,-0.0113154465448352,-0.00600798723850984
12,-0.00317423113743135,0.00185759609221564,-0.00100710219502358,-0.00400233460123937,-0.00422196116943676,-0.000235149461559597,-0.00210806973842504,-1.60155830856626e-05,-0.00852644292230529,-0.00416291098874644
13,-0.0022141561426258,0.00139000937808656,-0.0006820942997226,-0.00290355615931906,-0.00288710402416371,-0.000127128943446726,-0.00157741945038406,-7.16497923264266e-06,-0.00638029771180836,-0.00286446086885235
14,-0.00153534171155078,0.00103397443062415,-0.000459242485010715,-0.00209398194335035,-0.00196263407260301,-6.83250026222982e-05,-0.00117336947662354,-3.18662023839963e-06,-0.00474613287545641,-0.00195936496947014
15,-0.00105921695438322,0.000765214970100467,-0.000307625561374411,-0.00150244112273454,-0.00132739721643308,-3.65347049325863e-05,-0.000868367820782478,-1.41008347839334e-06,-0.00351253530816776,-0.00133343061956305
16,-0.00072750306633825,0.000563800771439396,-0.000205150444595311,-0.00107322499576597,-0.000893787128193619,-1.9449535477711e-05,-0.000639795168341295,-6.21219988618955e-07,-0.00258803604477293,-0.000903431244840909
17,-0.00049772502402426,0.000413781565122529,-0.00013627836114811,-0.000763638116503549,-0.000599478521417575,-1.03139554936338e-05,-0.000469549308206502,-2.7262570295729e-07,-0.0018994307903159,-0.000609711100327914
18,-0.000339346439516158,0.000302631620768457,-9.02152937263738e-05,-0.000541479909695586,-0.00040069500206906,-5.45064737190843e-06,-0.000343414713100696,-1.19234892895755e-07,-0.00138923138821521,-0.000410064184310093
19,-0.000230653025762023,0.0002206571628007,-5.95381210215433e-05,-0.000382770003075191,-0.00026700405381413,-2.87171008488709e-06,-0.000250389954631064,-5.19897789069297e-08,-0.00101294654503648,-0.000274942061149896
20,-0.000156341703542066,0.000160442751848256,-3.9184071409499e-05,-0.000269831114689801,-0.000177428426612038,-1.50883084261425e-06,-0.00018205935592251,-2.26072833389385e-08,-0.000736541260754212,-0.00018383572966035
