Years,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
2026,0,0,0,0,0,0,0,0,0,0
2027,0.00305561117432518,-0.000933805465673898,0.00120017341860645,0.00278542097530776,0.00491536284394556,0.00217158092942293,0.0011083332363151,0.000894230976288934,0.00479355547185545,0.00458164214776491
2028,0.00615289795752272,-0.00188873326273098,0.00242161369111482,0.00561049993194263,0.00987841027049718,0.00437678664700925,0.0022365953136505,0.00180502149256334,0.00963504823669492,0.00921094988739379
2029,0.00702035738484064,-0.00226157526226178,0.00267230577365352,0.00662123849572138,0.0111041737420692,0.00382531415779508,0.00269541663596762,0.00120648860304917,0.0117018416844845,0.0104079339335073
2030,0.00486421970752438,-0.00178611422469666,0.00164324679588668,0.00507314137253401,0.00736720859259776,0.000355650947037267,0.00217972595006355,-0.000732119133345921,0.00973706735922564,0.00701772264769351
2031,-0.000340054983240634,-0.000385269963409929,-0.000648703319415356,0.000842422117442343,-0.00125234884488701,-0.00544633232538516,0.000606745700537203,-0.00358379648907381,0.00343626131078256,-0.000917393651004073
2032,-0.00825665777238316,0.00191811570887013,-0.00405093876540064,-0.00586505935001735,-0.0140821129817914,-0.0129278380338247,-0.00198535718578907,-0.00701495457527124,-0.00695287850571491,-0.0128041961862723
2033,-0.0184123310585008,0.00503665944447995,-0.0083671964950589,-0.01470106921031,-0.0302532981616164,-0.0215271753781938,-0.00548235194694369,-0.0108068837270696,-0.0208898943349903,-0.0278575116093213
2034,-0.0303439249787175,0.00888403601483101,-0.0133942502064461,-0.0252707558348663,-0.0489033904154097,-0.0308084068699506,-0.00976045634526479,-0.0147698656361442,-0.0377273566564122,-0.0452918788355922
2035,-0.0435086680923822,0.0133542091875836,-0.0189138072800368,-0.0371912052188824,-0.0692363325052369,-0.0405470401700937,-0.0146860877162553,-0.018875607376178,-0.0568069281495366,-0.0643657756618349
2036,-0.0575996897248573,0.0182679003333737,-0.0248365354926396,-0.0500724868571872,-0.0906724911778087,-0.0505513451439735,-0.0200795800637156,-0.0230689272197533,-0.0774818550833283,-0.0845427561431733
2037,-0.0723044560964148,0.0236229122246374,-0.0310452913996934,-0.0636683252433861,-0.112720539671254,-0.0606874892732382,-0.0258809112157763,-0.0273114181354408,-0.0992650507560975,-0.105360209985432
2038,-0.0873734394986568,0.0293397279258789,-0.0374464139023507,-0.0777342262419133,-0.135004224440368,-0.0708601955116474,-0.0319901635534097,-0.0315746243005494,-0.121714296938082,-0.126460366745295
2039,-0.102611021412886,0.0353484409717506,-0.0439656679402367,-0.0920717758239181,-0.157241759881817,-0.0809999787066195,-0.0383220538381772,-0.0358364033092187,-0.144471247440752,-0.147572483841404
2040,-0.117865844025456,0.0415881708426002,-0.0505444312381544,-0.106522551977548,-0.17922599087198,-0.0910549721510064,-0.0448048614210261,-0.0400789622902377,-0.167252707730174,-0.168495252473196
2041,-0.133021988608568,0.0480061844905599,-0.0571364392137991,-0.120961663275021,-0.200807313734755,-0.100985730034052,-0.051378915508031,-0.0442877396314383,-0.189839745117523,-0.189081409088392
2042,-0.147991477038783,0.0545569590745834,-0.0637051449612646,-0.135291712799983,-0.221879850358421,-0.110761887781058,-0.057994963853972,-0.0484507281603531,-0.212066670072347,-0.209225105271538
2043,-0.162708179370025,0.0612012778571154,-0.0702216451397712,-0.149437523067344,-0.242370644824609,-0.120359962356743,-0.0646126111691578,-0.052558018554605,-0.233810921942639,-0.228851941736446
2044,-0.177122974604148,0.0679053894804751,-0.076663075056286,-0.163341715010148,-0.262231412530233,-0.129761845794437,-0.071198907867049,-0.0566014666448603,-0.254984304375508,-0.247911281710479
2045,-0.191199983652346,0.0746402783318445,-0.0830113644725184,-0.17696108596462,-0.281432316873558,-0.138953738144698,-0.0777271193994348,-0.0605744356030604,-0.275525662428497,-0.266370405554809
2046,-0.204913644697154,0.0813810218669595,-0.089252288709514,-0.190263697949837,-0.299957304447292,-0.147925350691521,-0.0841756832379897,-0.0644715825668362,-0.295394907912241,-0.284210095538463
2047,-0.218246463361711,0.0881062389003391,-0.0953747343045381,-0.203226557201351,-0.317800619896284,-0.156669294960812,-0.0905273290168938,-0.0682886782409836,-0.314568236655206,-0.301421314684764
2048,-0.231187268130146,0.0947976107055712,-0.101370121070756,-0.215833769933084,-0.334964189816276,-0.165180588367517,-0.0967683485386748,-0.0720224557596549,-0.333034336034658,-0.318002697092983
2049,-0.243729863478153,0.101439473188026,-0.10723195374715,-0.228075086602668,-0.351455661522012,-0.173456260132487,-0.102887991065461,-0.0756704764769899,-0.350791404232208,-0.333958654558841
2050,-0.255871977746792,0.108018474664597,-0.112955461165148,-0.239944745310521,-0.367286913432404,-0.181495017616429,-0.108877970219751,-0.0792310147059337,-0.36784482294309,-0.349297933449021
2051,-0.267614437708729,0.114523272741468,-0.118537306686798,-0.251440554819998,-0.382472926075702,-0.189296968489999,-0.114732044303723,-0.0827029597530656,-0.384205346544135,-0.364032507831514
2052,-0.2789605160531,0.12094427739996,-0.123975349464711,-0.26256316407938,-0.397030914280114,-0.196863388930142,-0.120445681892264,-0.0860857242750728,-0.399887688344649,-0.378176732802946
2053,-0.289915407514218,0.127273427737422,-0.129268452413062,-0.273315476627542,-0.410979659096901,-0.204196518531931,-0.126015776724494,-0.0893791730890392,-0.414909428338139,-0.391746681209762
2054,-0.300485816033255,0.133504000928108,-0.13441631489166,-0.283702178678484,-0.424338992115851,-0.211299392453084,-0.131440410872604,-0.0925835515569533,-0.429290165248572,-0.404759630257457
2055,-0.310679611806692,0.139630447355675,-0.139419339259654,-0.293729356633323,-0.437129388610627,-0.21817569486018,-0.136718663955901,-0.0956994301093579,-0.443050854426287,-0.417233656210259
2056,-0.320505558548634,0.145648243690136,-0.144278514248434,-0.303404188448667,-0.449371656948858,-0.224829635077804,-0.141850439493917,-0.0987276547017246,-0.456213301134553,-0.429187318062464
2057,-0.329973089789301,0.151553765969247,-0.148995314462641,-0.312734688926476,-0.46108669029711,-0.23126583953662,-0.146836335440936,-0.101669298461143,-0.468799761081955,-0.440639407674394
2058,-0.339092121652762,0.157344178552475,-0.153571618166449,-0.32172950375787,-0.472295275591446,-0.237489260363899,-0.151677518791571,-0.104525625850366,-0.480832638556019,-0.451608752735776
2059,-0.34787290441095,0.163017336756058,-0.158009634775182,-0.33039773657418,-0.483017947637663,-0.243505097209121,-0.156375630044065,-0.107298058821053,-0.492334249240183,-0.462114058945316
2060,-0.356325894623248,0.168571701319223,-0.162311842501452,-0.338748811123013,-0.493274869703134,-0.24931873140409,-0.160932698584022,-0.109988147328801,-0.503326642031279,-0.472173790705923
2061,-0.3644616553227,0.174006263136202,-0.166480934675046,-0.34679235274502,-0.503085749691538,-0.254935667941211,-0.165351070200385,-0.112597543682839,-0.513831460618238,-0.481806078007227
2062,-0.372290768809251,0.179320476921504,-0.170519774654607,-0.354538093761689,-0.512469774628974,-0.260361489323635,-0.169633345124114,-0.115127980267963,-0.52386984492222,-0.491028641333077
2063,-0.379823769577391,0.184514202672355,-0.174431357864627,-0.361995798220727,-0.521445562097161,-0.265601811267398,-0.173782325005718,-0.117581250231917,-0.533462353544152,-0.499858737987635
2064,-0.387071086734591,0.189587653951671,-0.178218773781191,-0.369175191604547,-0.530031126335027,-0.270662253534823,-0.177800967521483,-0.119959190780664,-0.542628909744099,-0.508313123359924
2065,-0.394043000429436,0.194541352153246,-0.181885180406158,-0.376085911514459,-0.538243856523152,-0.275548405383584,-0.181692351900643,-0.122263670819311,-0.551388765825844,-0.516408019173904
2066,-0.400749603164829,0.199376082724314,-0.185433780368604,-0.382737466519277,-0.546100505850877,-0.280265806737047,-0.185459639377285,-0.124496576935889,-0.559760483384027,-0.524159097223204
2067,-0.407200769111799,0.204092862263464,-0.188867795948955,-0.38913919760894,-0.55361718519668,-0.284819922560867,-0.189106053004527,-0.126659801615676,-0.567761916092056,-0.531581468263788
2068,-0.413406135621392,0.208692909727775,-0.192190453258133,-0.395300254391534,-0.560809362252107,-0.289216131410221,-0.192634847238398,-0.128755238323374,-0.575410208610678,-0.538689675594361
2069,-0.419375083590284,0.213177607200292,-0.195404967943753,-0.401229570561951,-0.567691870189867,-0.293459709176294,-0.196049290412749,-0.130784769589251,-0.582721802052773,-0.54549769717203
2070,-0.425116724563454,0.217548489234384,-0.198514531314168,-0.406935852482933,-0.574278915514634,-0.297555820783966,-0.199352647465698,-0.132750261788767,-0.589712435921701,-0.55201894942227
2071,-0.430639893247467,0.221807209485168,-0.201522297137293,-0.41242756075256,-0.580584090802555,-0.301509510682682,-0.202548165107202,-0.134653562561309,-0.596397165388926,-0.558266294965238
2072,-0.435953142461047,0.225955524336809,-0.204431378989797,-0.417712904749438,-0.586620389637586,-0.305325695470296,-0.205639063013674,-0.136496492839174,-0.602790376226454,-0.564252053707313
2073,-0.441064737366021,0.229995278380029,-0.207244835247587,-0.422799839495273,-0.592400223876467,-0.309009161613375,-0.208628516572806,-0.138280843720145,-0.608905803017979,-0.569988014173717
2074,-0.445982657880412,0.233928385711053,-0.209965669476505,-0.427696056445339,-0.597935441654911,-0.312564559722428,-0.211519655781977,-0.14000837414564,-0.614756544676938,-0.575485447575307
2075,-0.450714597985723,0.237756816623817,-0.212596823181524,-0.432408988551419,-0.603237342656453,-0.31599640625884,-0.214315552792862,-0.141680808273724,-0.620355091051471,-0.580755126766361
2076,-0.455267970217602,0.24148258582286,-0.21514117082919,-0.436945808565109,-0.608316703097243,-0.319309077852167,-0.217019221947939,-0.143299833396946,-0.62571333977172,-0.58580733663273
